*** 1 - 10 (/course/185945/spanish-adjectives/1/)	
primero	primary
binario	binary
concertado	concerted
proporcionado	proportioned
flojo	"loose, limp, flabby"
asistente	"assistant, attendant"
guiado	guided
didáctico	"didactic, didactical, educational"
sofisticado	"sophisticated, showy, ostentatious"
continuado	"continued, kept, nonstop"
automovilístico	"motoring, car"
*** 1281 - 1290 (/course/185945/spanish-adjectives/129/)	
íntegro	"full, whole, integral"
analógico	"analogical, analogic, analogue"
agregado	"aggregate, attached, aggregated"
adyacente	"adjacent, contiguous"
fluido	"fluid, smooth, flowing"
meteorológico	"weather, meteorological"
literal	"literal, verbatim, word for word"
electromagnético	electromagnetic
obscuro	"uncertain, unsure, dark"
economista	economic
*** 1291 - 1300 (/course/185945/spanish-adjectives/130/)	
pardo	"brown, dun, half-breed"
distintivo	"distinctive, distinguishing"
afortunado	"fortunate, lucky, happy"
centenario	"centennial, centenary, hundred-year"
minucioso	"minute, thorough, meticulous"
fecundo	"fertile, fecund, pregnant"
apretado	"tight, pinched, pressed"
astuto	"cunning, clever, astute"
hereditario	hereditary
nominal	"nominal, named"
*** 1301 - 1310 (/course/185945/spanish-adjectives/131/)	
llamativo	"striking, startling, gaudy"
exponente	exponent
tardo	"slow, dull-witted"
novedoso	"novel, new, original"
graduado	"graduate, graduated, prescription"
escandaloso	"scandalous, shocking, outrageous"
alimentado	"fed, nourished"
sudamericano	South American
hospitalario	"hospitable, hospital"
nocivo	"noxious, harmful, injurious"
*** 1311 - 1320 (/course/185945/spanish-adjectives/132/)	
contiguo	"contiguous, adjacent, adjoining"
memorable	"memorable, eventful, unforgettable"
corrupto	corrupt
vicioso	"vicious, addict, malicious"
amenazador	"menacing, threatening, ominous"
carente	"lacking, wanting"
astronómico	"astronomical, astronomic"
millonario	"millionaire, loaded, million-dollar"
estático	static
arduo	"arduous, hard, tough"
*** 1321 - 1330 (/course/185945/spanish-adjectives/133/)	
portátil	portable
secular	"secular, ancient, century-old"
celta	Celtic
árido	"arid, barren, dry"
transversal	"cross, transversal, transverse"
premiado	"prizewinning, prize"
heredero	"heir, inheriting, being heir to"
suplementario	"supplementary, additional"
inusual	unusual
gemelo	twin
*** 1331 - 1340 (/course/185945/spanish-adjectives/134/)	
arrastrado	"dragged, pulled, hauled"
extinto	"extinct, defunct"
comparativo	comparative
logístico	"logistic, logistical"
contingente	contingent
destructivo	"destructive, disruptive"
hipotético	"hypothetical, notional, hypothetic"
interino	"acting, interim, temporary"
extraterrestre	"extraterrestrial, alien, extra-terrestrial"
comunal	"communal, village"
*** 1341 - 1350 (/course/185945/spanish-adjectives/135/)	
vergonzoso	"shameful, disgraceful, shameless"
tibio	"warm, lukewarm, tepid"
sobresaliente	"outstanding, protruding, leading"
sustantivo	"substantive, fundamental"
dominicano	"Dominican, of Santo Domingo"
explotado	"exploited, take advantage of"
cognitivo	cognitive
ocasionado	caused
clavado	"nailed, put up"
bovino	bovine
*** 1351 - 1360 (/course/185945/spanish-adjectives/136/)	
diminuto	"diminutive, tiny, minute"
respiratorio	respiratory
despierto	"awake, alert, wakeful"
vigésimo	twentieth
navarro	Navarrese
prehistórico	"prehistorical, prehistoric, outdated"
romo	"blunt, snub-nosed, snub"
malvado	"evil, wicked, villain"
astral	astral
compacto	compact
*** 1361 - 1370 (/course/185945/spanish-adjectives/137/)	
rosado	"pink, rosy, rose-flavoured"
contratado	contracted
ágil	"agile, nimble, quick"
endémico	"endemic, autochthonous, local"
victorioso	"victorious, winning, triumphant"
genuino	"genuine, true, authentic"
manso	"gentle, tame, meek"
devastador	"devastating, catastrophic"
apartado	"apart, remote, isolated"
plenario	"plenary, full"
*** 1371 - 1380 (/course/185945/spanish-adjectives/138/)	
anglosajón	"English-speaking, Anglo-Saxon"
ingrato	"thankless, ungrateful, hard"
cúbico	"cubic, cubical"
conflictivo	"problem, difficult, troublesome"
rústico	"rustic, peasant, coarse"
incentivo	incentive
repugnante	"disgusting, nasty, repugnant"
campeón	champion
paralizado	paralyzed
mitológico	mythological
*** 1381 - 1390 (/course/185945/spanish-adjectives/139/)	
inhumano	"inhuman, inhumane, heartless"
aleatorio	"random, aleatory, accidental"
imbécil	"imbecile, moronic, silly"
torero	"haughty, uppity, bullfighting"
inexplicable	"inexplicable, unaccountable"
acelerado	"accelerated, quick, rapid"
inquietante	"disquieting, disturbing, worrying"
abatido	"downcast, depressed, downhearted"
robado	"stolen, taken"
escénico	"scenic, dramatic"
*** 1391 - 1400 (/course/185945/spanish-adjectives/140/)	
brusco	"sharp, sudden, abrupt"
ventajoso	"advantageous, beneficial, favourable"
legislador	"legislator, legislative"
quirúrgico	surgical
extensivo	"extensive, applicable"
sanguíneo	"blood, fiery, quick-tempered"
drástico	drastic
permitido	permitted
búlgaro	Bulgarian
penitenciario	"penitentiary, confessor, prison"
*** 1401 - 1410 (/course/185945/spanish-adjectives/141/)	
jesuita	"Jesuit, Jesuitical"
grandioso	"grand, grandiose, magnificent"
cristalino	"crystalline, translucent, crystal"
elocuente	"eloquent, telling"
eminente	"eminent, prominent, noted"
funesto	"disastrous, fatal, baneful"
pedagógico	"pedagogical, pedagogic, teaching"
transatlántico	transatlantic
desplegado	"displayed, unfolded"
moribundo	"moribund, dying, dying woman"
*** 1411 - 1420 (/course/185945/spanish-adjectives/142/)	
recreativo	"leisure, recreational"
escéptico	"skeptic, skeptical, sceptical"
efímero	"fleeting, brief, short-lived"
infernal	"hellish, infernal, diabolic"
minúsculo	"tiny, minuscule, lower case"
subordinado	"subordinate, dependent, subservient"
benéfico	"beneficial, salutary, beneficent"
imperioso	"imperious, imperative, masterful"
represivo	repressive
ruidoso	"loud, noisy, rowdy"
*** 1421 - 1430 (/course/185945/spanish-adjectives/143/)	
leído	well-read
preferido	"favorite, chosen, favourite"
fisiológico	"physiologic, physiological"
subsidiario	subsidiary
certificado	"certified, registered"
precoz	"early, precocious, premature"
aristocrático	"aristocratic, patrician"
obsoleto	"obsolete, out-dated"
catastrófico	"catastrophic, disastrous, pitiful"
florido	"ornate, flowery, florid"
*** 1431 - 1440 (/course/185945/spanish-adjectives/144/)	
bibliográfico	"bibliographical, bibliographic"
atlántico	Atlantic
derribado	"demolished, felled, overthrown"
articulado	"articulated, jointed, articular"
fugitivo	"fugitive, runaway"
desprovisto	"lacking, without"
retenido	detained
gitano	"Gypsy, Gipsy, Romany"
difuso	"diffuse, vague, dim"
industrializado	industrialized
*** 1441 - 1450 (/course/185945/spanish-adjectives/145/)	
gentil	"gentile, genteel, graceful"
remitido	"sent, delivered"
impotente	"powerless, impotent, helpless"
esotérico	"esoteric, occult"
interactivo	interactive
patrio	"national, of a country, native"
arriesgado	"risky, hazardous, unsafe"
irresistible	"irresistible, compelling, resistless"
incansable	"tireless, unflagging, indefatigable"
pésimo	"awful, disastrous"
*** 1451 - 1460 (/course/185945/spanish-adjectives/146/)	
sabroso	"tasty, yummy, savory"
decorativo	"decorative, ornamental"
burlón	"mocking, jesting, quizzical"
fructífero	"fruitful, productive, fruit-bearing"
devoto	"devoted, devout, prayerful"
huérfano	"orphaned, orphan, alone"
pagano	"pagan, heathen, heathenish"
tupido	"bushy, thick, shaggy"
sociológico	sociological
ignorado	"disregarded, unknown"
*** 1461 - 1470 (/course/185945/spanish-adjectives/147/)	
caído	"fallen, drooping"
atónito	"astonished, stunned"
reformado	reformed
erudito	"erudite, learned, knowledgeable"
cuidado	taken care of
inseguro	"unsafe, unsure, insecure"
irresponsable	"irresponsible, feckless, Irresponsible"
emotivo	"emotional, moody, labile"
filipino	"Philippine, Filipino, of the Philippines"
amarillento	"yellowish, yellowy"
*** 1471 - 1480 (/course/185945/spanish-adjectives/148/)	
germánico	Germanic
empeñado	"determined, pawned, stubborn"
extremista	"extremist, extreme"
improvisado	"impromptu, makeshift, improvised"
constitutivo	"constituent element, constitutive, of formation"
sinfónico	symphonic
doblado	"bent, turned"
penúltimo	"penultimate, second-to-last, next-to-last"
pictórico	pictorial
jugado	"experienced, seasoned, astute"
*** 1481 - 1490 (/course/185945/spanish-adjectives/149/)	
semántico	"semantic, semantical"
mojado	"wet, soaked, moist"
dejado	"left, unkempt, uncared for"
plateado	"silvery, silver, silver-plating"
coreano	Korean
sectorial	"sectoral, sectorial"
indeterminado	"indeterminate, indefinite, undetermined"
lesionado	"injured, hurt, wounded"
acomodado	"accommodated, well-off, well-to-do"
ahogado	"crowded, cluttered, stalemated"
*** 1491 - 1500 (/course/185945/spanish-adjectives/150/)	
montés	"wild, mountain, highland"
prodigioso	"prodigious, monumental"
canónico	"canonical, canonic"
casual	"casual, random, chance"
pensativo	"thoughtful, pensive, reflective"
odioso	"odious, obnoxious, hateful"
jerárquico	"hierarchical, hierarchic"
triunfante	"triumphant, victorious"
alpino	Alpine
patrimonial	"patrimonial, inherited, hereditary"
*** 1501 - 1510 (/course/185945/spanish-adjectives/151/)	
superfluo	"superfluous, redundant, needless"
sumado	added
cuestionado	disputed
tosco	"coarse, rough, crude"
tormentoso	"stormy, inclement, tempestuous"
castaño	"chestnut, brown, auburn"
trivial	"trivial, banal, mundane"
indebido	"undue, improper, unjust"
armenio	Armenian
gastado	"spent, wasted, used"
*** 1511 - 1520 (/course/185945/spanish-adjectives/152/)	
grato	"agreeable, pleasant, pleasing"
destructor	destructive
grotesco	"grotesque, weird, strange"
mercenario	"mercenary, hack"
báltico	Baltic
estatutario	statutory
imperfecto	"imperfect, faulty"
triángulo	triangular
majestuoso	"majestic, stately, imposing"
organizativo	organizational
*** 1521 - 1530 (/course/185945/spanish-adjectives/153/)	
cronológico	"chronological, chronologic"
misionero	missionary
anormal	"abnormal, unnatural, anomalous"
mártir	long-suffering
cortesano	"lackey, courteous, courtly"
milagroso	"miraculous, wonder"
forense	forensic
tembloroso	"shaking, quivering, trembling"
óseo	"bony, osseous, bone"
perplejo	"perplexed, puzzled, bewildered"
*** 1531 - 1540 (/course/185945/spanish-adjectives/154/)	
engañoso	"deceitful, deceptive, misleading"
patriótico	patriotic
risueño	"smiling, beaming, sunny"
neutro	"neutral, neuter"
cimarrón	"wild, untamed"
prometedor	"promising, rosy, hopeful"
angosto	narrow
afectivo	"affective, of affection, emotional"
comprador	"buying, purchasing"
galo	"Gallic, Gaulish"
*** 1541 - 1550 (/course/185945/spanish-adjectives/155/)	
provechoso	"helpful, profitable, good"
innato	"innate, inborn, native"
diestro	"skilful, skillful, skilled"
acreedor	"worthy, deserving"
peludo	"haired, hairy, furry"
vitalicio	"life, lifelong"
mostrado	indicated
congelado	"frozen, very cold, deep-frozen"
organizador	organizing
granado	seedy
*** 1551 - 1560 (/course/185945/spanish-adjectives/156/)	
pretendido	"supposed, so-called, alleged"
diurno	"diurnal, daytime, day"
maya	Mayan
letal	"lethal, deadly"
satírico	"satirical, satiric"
lícito	"lawful, licit, legal"
desplazado	"displaced, misfit, out of place"
pragmático	"pragmatic, practical"
villano	"villain, coarse, boorish"
merecido	"deserved, well-deserved, well-earned"
*** 1561 - 1570 (/course/185945/spanish-adjectives/157/)	
investigador	investigative
afilado	"sharp, keen, cutting"
encarnado	"incarnate, ingrown, red"
sito	"situated, located"
desproporcionado	"disproportionate, undue, out of proportion"
bienvenido	welcome
precursor	"precursor, forerunner"
emparentado	"related, kindred, akin"
especulativo	"speculative, notional"
heterogéneo	"heterogeneous, diverse, varied"
*** 1571 - 1580 (/course/185945/spanish-adjectives/158/)	
inseparable	inseparable
discriminatorio	"discriminatory, discriminative"
invencible	"invincible, unbeatable, unconquerable"
hotelero	hotel
dialéctico	"dialectic, dialectical"
soltero	"single, unmarried, stag"
abreviado	"abbreviated, shortened"
papal	papal
instantáneo	"instant, instantaneous, fleeting"
venidero	"coming, future, forthcoming"
*** 1581 - 1590 (/course/185945/spanish-adjectives/159/)	
entusiasmado	"enthusiastic, eager, excited"
gramático	grammatical
caprichoso	"capricious, whimsical, wayward"
curado	"cured, mature, aged"
cercado	"fenced, enclosed"
dañino	"damaging, harmful, noxious"
evangélico	"evangelical, evangelic, evangelistic"
porcino	"porcine, pig, hog"
heredado	inherited
atlético	"athletic, trim, buff"
*** 1591 - 1600 (/course/185945/spanish-adjectives/160/)	
arraigado	"ingrained, rooted, stuck"
bondadoso	"kindly, kind, generous"
colosal	"colossal, mammoth, monumental"
pronto	"ready, prompt, quick"
reflexivo	"reflexive, sensible, prudent"
enano	"dwarfish, miniature, short"
vistoso	"colorful, ornate, flamboyant"
valeroso	"brave, valiant"
simétrico	"symmetric, symmetrical"
tribal	tribal
*** 1601 - 1610 (/course/185945/spanish-adjectives/161/)	
decorado	"decorated, furnished, fitted out"
sensual	"sensual, sensuous, sexy"
disciplinario	"disciplinary, disciplinarian"
vivido	"vivid, worldly"
manchado	"spotted, stained, dirty"
radiofónico	radio
resignado	resigned
desordenado	"disordered, disorderly, inordinate"
híbrido	"hybrid, bastard"
atrasado	"backward, late, overdue"
*** 1611 - 1620 (/course/185945/spanish-adjectives/162/)	
otomano	Ottoman
totalitario	totalitarian
veneciano	Venetian
afirmativo	"affirmative, positive"
residente	"resident, intern"
hipócrita	"hypocrite, hypocritical"
redondeado	"rounded, rounded off"
destituido	destitute
lácteo	"milk, lacteal, milky"
recio	"stout, well-built, fierce"
*** 1621 - 1630 (/course/185945/spanish-adjectives/163/)	
indigno	"undeserving, unworthy, unbecoming"
asteroide	asteroid
intrínseco	intrinsic
errante	"wandering, errant, stray"
confidencial	"confidential, private, told in secret"
capacitado	"trained, qualified"
eslovaco	"Slovakian, Slovak"
asentado	"sensible, mature, established"
mediocre	"mediocre, poor, average"
abrumador	"overwhelming, overpowering, crushing"
*** 1631 - 1640 (/course/185945/spanish-adjectives/164/)	
comunicativo	"communicative, forthcoming, sociable"
aromático	aromatic
honorario	honorary
intencionado	"intentioned, meant, deliberate"
fabuloso	"fabulous, fantastic, fictitious"
irritado	"irritated, annoyed, irked"
hinchado	"bloated, swollen, blown"
excitado	excited
panameño	Panamanian
simplificado	simplified
*** 1641 - 1650 (/course/185945/spanish-adjectives/165/)	
anexo	"annexed, attached, joined"
transnacional	"transnational, international"
afiliado	"affiliated, joined"
esférico	"spherical, spheric"
lucrativo	"lucrative, profitable"
futbolístico	"football, soccer"
humorístico	"humorous, joking, comical"
idóneo	"suitable, fitting"
consultivo	"consultative, advisory"
gaucho	helpful
*** 1651 - 1660 (/course/185945/spanish-adjectives/166/)	
fugaz	"fleeting, transient, flying"
deliberado	"deliberate, purposive, willful"
reproductivo	reproductive
desafortunado	"unfortunate, unlucky, luckless"
cascado	"cracked, broken, tinny"
opaco	"opaque, lacklustre, dull"
frenético	"frenzied, frantic, hectic"
arcaico	"archaic, old-fashioned"
naturalista	"naturalistic, naturalist"
dispar	"disparate, different, unalike"
*** 1661 - 1670 (/course/185945/spanish-adjectives/167/)	
tapado	"plugged, covered"
ocioso	"idle, at leisure, unused"
gramatical	"grammatical, grammatically correct"
terciario	"tertiary, third, Tertiary"
surrealista	"surreal, surrealist, surrealistic"
conquistador	conquering
afligido	"afflicted, distressed, mournful"
monótono	"monotone, monotonous, drab"
monárquico	"monarchic, monarchical, royalist"
cilíndrico	cylindrical
*** 1671 - 1680 (/course/185945/spanish-adjectives/168/)	
imperialista	"imperialist, imperialistic"
gritón	"loud, vocal, loud-mouthed"
cordial	"cordial, friendly, hearty"
discapacitado	"disabled, handicapped, impaired"
biográfico	"biographical, biographic"
pulmonar	"pulmonary, chest, lung"
inactivo	"inactive, quiescent, dormant"
porteño	"inhabitant of Buenos Aires, port, Porteño"
inaccesible	"inaccessible, prohibitive, incomprehensible"
consecuente	"consequent, consistent, consequential"
*** 1681 - 1690 (/course/185945/spanish-adjectives/169/)	
insensato	"senseless, insensate, meaningless"
mensajero	messenger
indeciso	"indecisive, undecided, irresolute"
iberoamericano	"Latin American, Ibero-American"
descriptivo	descriptive
franciscano	Franciscan
aeronáutico	"aeronautic, aeronautical"
inolvidable	unforgettable
improviso	unexpected
espinoso	"thorny, prickly, spiny"
*** 1691 - 1700 (/course/185945/spanish-adjectives/170/)	
lluvioso	"rainy, wet, moist"
podrido	"rotting, rotten, putrid"
ceremonial	ceremonial
norteño	"northern, north"
fonético	phonetic
involuntario	"unintentional, involuntary, unwitting"
aditivo	additive
casto	"chaste, pure, celibate"
ovino	"ovine, sheep"
etarra	ETA
*** 1701 - 1710 (/course/185945/spanish-adjectives/171/)	
exaltado	"exalted, hotheaded, ebullient"
accesorio	accessory
armonioso	"harmonious, melodious, balanced"
diabólico	"diabolic, devilish, diabolical"
imparcial	"impartial, unbiased"
manejado	used
caótico	"chaotic, in disorder, untidy"
aturdido	"stunned, confused, bewildered"
anticuado	"dated, outdated, antiquated"
sobrio	"sober, restrained, moderate"
*** 1711 - 1720 (/course/185945/spanish-adjectives/172/)	
parado	"standing, standing up, in good shape"
dilatado	"expanded, extensive, dilated"
hidroeléctrico	hydroelectric
esporádico	"sporadic, occasional, odd"
conocedor	aware
lavado	washed
imprevisto	"unexpected, sudden"
balear	Balearic
corrido	"consecutive, running, travelled"
bautizado	baptized
*** 1721 - 1730 (/course/185945/spanish-adjectives/173/)	
volador	flying
regio	"royal, kingly, regal"
trascendente	"transcendent, important, significant"
contractual	"contractual, of a contract"
necio	"foolish, fool, stupid"
episcopal	"episcopal, Episcopal"
melódico	melodic
deshecho	"undone, broken"
matinal	"matinee, morning"
guatemalteco	Guatemalan
*** 1731 - 1740 (/course/185945/spanish-adjectives/174/)	
ario	Aryan
nómada	"nomad, nomadic, wandering"
embrionario	"embryonic, embryo"
taurino	bull-fighting
altísimo	"soaring, towering, lofty"
apuntado	"pointed, aiming, pointy"
ávido	"avid, greedy, keen"
renal	"renal, kidney"
céntrico	"downtown, central, centric"
cortés	"polite, courteous, courtly"
*** 1741 - 1750 (/course/185945/spanish-adjectives/175/)	
preferente	"preferential, priority"
vertiginoso	"vertiginous, breakneck, dizzy"
abrupto	"abrupt, rapid, precipitous"
desterrado	"exiled, exile, banished"
leonés	lioness
defectuoso	"faulty, defective, with defects"
nefasto	"disastrous, unlucky, terrible"
foral	local government
litúrgico	"liturgical, liturgic"
simpatizante	"sympathizer, sympathetic, supporting"
*** 1751 - 1760 (/course/185945/spanish-adjectives/176/)	
indefenso	"helpless, defenseless, defenceless"
distraído	"distracted, absent, inattentive"
ilegítimo	illegitimate
alineado	"lined, aligned, in alignment"
psiquiátrico	psychiatric
preciado	"valuable, precious, valued"
laborioso	"laborious, industrious, ponderous"
magistral	"masterly, magisterial, masterful"
mundano	"mundane, worldly, secular"
estupefacto	"thunderstruck, dumbfounded, astonished"
*** 1761 - 1770 (/course/185945/spanish-adjectives/177/)	
predilecto	"favorite, chosen, favourite"
trémulo	"shimmery, tremulous, shimmering"
radicado	located
instruido	well-informed
sembrado	laid
inerte	"inert, motionless, lifeless"
sobreviviente	surviving
reaccionario	reactionary
rendido	"exhausted, submissive, surrendered"
multitudinario	"massive, multitudinous, mass"
*** 1771 - 1780 (/course/185945/spanish-adjectives/178/)	
mísero	"wretched, squalid, mean"
intervenido	intervened
hispánico	"Hispanic, Spanish"
infiel	"unfaithful, infidel, untrue"
triunfal	triumphal
horrendo	"horrific, horrid, frightful"
ininterrumpido	uninterrupted
adosado	attached
aficionado	"amateur, amateurish, enthusiastic about"
intuitivo	"intuitive, intuitional"
*** 1781 - 1790 (/course/185945/spanish-adjectives/179/)	
marchito	"withered, sere, overblown"
rematado	"absolute, total, complete"
arrojado	"gutsy, daring, brave"
enigmático	"enigmatic, puzzling, baffling"
bilingüe	bilingual
oceánico	oceanic
adquisitivo	"purchasing, acquisitive"
apostólico	apostolic
impasible	"impassive, unmoved, impassible"
paradójico	"paradoxical, nonsensical"
*** 1791 - 1800 (/course/185945/spanish-adjectives/180/)	
vacilante	"faltering, hesitant, vacillating"
graso	"fat, fatty, greasy"
turbio	"cloudy, murky, shady"
antropológico	"anthropological, anthropologic"
despiadado	"merciless, ruthless, remorseless"
labrado	"cultivated field, cultivated, carved"
transcurrido	lapsed
cíclico	"cyclic, gradual"
reluciente	"shiny, shining, gleaming"
desinteresado	"disinterested, uninterested, selfless"
*** 1801 - 1810 (/course/185945/spanish-adjectives/181/)	
morado	"purple, purplish, the purple one"
austero	"austere, severe, dour"
sacro	"sacral, sacred"
imaginativo	"imaginative, inventive"
afamado	"famous, renowned"
experto	"expert, skilled, knowledgeable"
perezoso	"lazy, slothful, sluggish"
parisino	Parisian
influido	"influenced, affected"
terrenal	"earthly, worldly"
*** 1811 - 1820 (/course/185945/spanish-adjectives/182/)	
infrarrojo	infrared
tenebroso	"dark, gloomy, murky"
fundido	"molten, fading, shattered"
arrebatado	"taken, rapt, rushed"
benigno	"benign, mild, kind"
cardiaco	"cardiac, heart"
intruso	intrusive
colindante	"adjacent, neighboring, adjoining"
perceptible	"perceptible, noticeable, discernible"
fraudulento	"fraudulent, dishonest, bogus"
*** 1821 - 1830 (/course/185945/spanish-adjectives/183/)	
concerniente	"concerning, relating to"
morisco	"Moorish, Moresque"
borrado	erased
desconcertado	"embarrassed, disconcerted, bewildered"
metido	"nosy, intrusive"
peregrino	"senseless, stupid, outlandish"
interpretativo	interpretative
patológico	"pathologic, pathological, neurotic"
mapuche	"Mapuche, adj"
obediente	"compliant, obedient, dutiful"
*** 1831 - 1840 (/course/185945/spanish-adjectives/184/)	
pericial	"expert, qualified"
alzado	"raised, elevated, lifted"
cambiado	turned
neoyorquino	New York
relajado	"relaxed, leisurely, laid back"
prolífico	prolific
injustificado	"unwarranted, unjustified"
nutrido	"well-stocked, nourished, healthy"
austral	"austral, southern"
accidentado	"bumpy, uneven, rough"
*** 1841 - 1850 (/course/185945/spanish-adjectives/185/)	
falto	"lacking, short, broke"
tieso	"stone-dead, dead as a doornail, broke"
descuidado	"neglected, careless, negligent"
absorto	"absorbed, engrossed, preoccupied"
salvadoreño	"Salvadoran, Salvadorian"
señorial	"manorial, baronial, lordly"
islandés	Icelandic
macizo	"massive, solid, chunky"
patético	pathetic
deprimido	"depressed, sunken, low-lying"
*** 1851 - 1860 (/course/185945/spanish-adjectives/186/)	
afectuoso	"warm, affectionate, tender"
impositivo	"tax, imposing"
oriundo	native
esbelto	"slender, slim, svelte"
autobiográfico	"autobiographical, autobiographic"
inaudito	"unheard, unheard-of, unprecedented"
impreciso	"vague, imprecise, loose"
enclavado	"buried, enclosed, nestled"
acentuado	"accented, accentuated, having an accent"
digestivo	digestive
*** 1861 - 1870 (/course/185945/spanish-adjectives/187/)	
plagado	"riddled, infested, crammed full"
rutinario	"routine, stuck in his ways, unimaginative"
métrico	"metric, metrical"
departamental	departmental
inca	Inca
estimulante	"stimulating, refreshing, stimulant"
panorámico	panoramic
certero	"accurate, certain, unerring"
causal	"causal, responsible, grounds"
revelado	"revealed, exposed, developed"
*** 1871 - 1880 (/course/185945/spanish-adjectives/188/)	
altivo	"haughty, overbearing, lordly"
saturado	"saturated, swamped, up to one's ears"
indicativo	indicative
nato	"born, congenital, natural"
torcido	"crooked, wry, turned"
paquistaní	Pakistani
rudimentario	"rudimentary, elementary, inchoate"
mudéjar	Mudejar
entendido	"understood, knowledgeable, expert"
delirante	"delirious, raving, frenzied"
*** 1881 - 1890 (/course/185945/spanish-adjectives/189/)	
enfermizo	"sickly, unhealthy, infirm"
formativo	"formative, training, educational"
cuantioso	"large, heavy, considerable"
floral	floral
fingido	"mock, pretended, feigned"
aludido	"aforementioned, aforesaid"
aledaño	"neighbouring, adjoining, bordering"
oratorio	oratorio
alentador	"encouraging, cheering"
macedonio	Macedonian
*** 1891 - 1900 (/course/185945/spanish-adjectives/190/)	
deshabitado	"uninhabited, deserted"
controlador	controlling
abusivo	"abusive, exorbitant"
socioeconómico	socioeconomic
adoptivo	"adopted, adoptive"
comedido	"restrained, reticent"
seleccionador	selection
insaciable	"insatiable, insatiate"
gestor	managing
reconocible	recognizable
*** 1901 - 1910 (/course/185945/spanish-adjectives/191/)	
gaseoso	"gaseous, gassy, fizzy"
agrio	"tart, sour, acid"
inadvertido	"inadvertent, unnoticed, unseen"
ameno	"pleasant, enjoyable, entertaining"
incógnito	"incognito, unknown"
oprimido	oppressed
asistido	"assisted, aided"
cónico	"conical, conic, cone-shaped"
teólogo	divine
honorífico	"honorific, honorable, honorary"
*** 1911 - 1920 (/course/185945/spanish-adjectives/192/)	
indiscriminado	"indiscriminate, random"
manual	"manual, hand made"
mosaico	"mosaic, Mosaic"
reinante	"reigning, regnant, prevailing"
siciliano	Sicilian
modernista	"modernist, modernistic"
domiciliario	"home, house"
nasal	nasal
inagotable	"inexhaustible, tireless, unflagging"
batido	"beaten, whipped, frappe"
*** 1921 - 1930 (/course/185945/spanish-adjectives/193/)	
undécimo	eleventh
mongol	"Mongolian, Mongol"
salado	"savory, salty, salted"
propenso	"prone, susceptible, liable"
horroroso	"horrifying, harrowing, horrid"
apuesto	"handsome, good-looking, wager"
eólico	"wind, Aeolian, eolian"
subversivo	subversive
molido	"ground, milled, minced"
azulado	"bluish, azure"
*** 1931 - 1940 (/course/185945/spanish-adjectives/194/)	
invicto	"unbeaten, undefeated, unconquered"
feminista	feminist
impenetrable	"impenetrable, impervious, inscrutable"
merecedor	worthy of
lúcido	"lucid, clear, magnificent"
idealista	idealistic
consumado	"accomplished, consummate, consumed"
narrado	narrated
emocionante	"exciting, thrilling, emotional"
nicaragüense	Nicaraguan
*** 1941 - 1950 (/course/185945/spanish-adjectives/195/)	
suntuoso	"sumptuous, palatial, rich"
sumiso	"submissive, obedient, compliant"
puntiagudo	"pointed, sharp, spiky"
invariable	"invariable, invariant, changeless"
espantado	"scared, frightened, startled"
paulatino	"gradual, slow"
marciano	Martian
sentido	"sensitive, heartfelt, deep"
turbado	"embarrassed, disturbed, troubled"
serrano	"rustic, hill, mountain"
*** 1951 - 1960 (/course/185945/spanish-adjectives/196/)	
materialista	"materialistic, materialist"
enfurecido	"enraged, maddened, furious"
igualitario	"equal, same, egalitarian"
navideño	Christmas
pulido	"polished, well-polished"
frondoso	"leafy, overgrown, lush"
termal	"thermal, hot"
mobiliario	urban furniture
dogmático	"dogmatic, opinionated, dogmatical"
sosegado	"placid, patient"
*** 1961 - 1970 (/course/185945/spanish-adjectives/197/)	
verdoso	greenish
apurado	"short, out, rushed"
reprimido	"repressed, pent"
comprensivo	"understanding, comprehensive, sympathetic"
violado	broken
facial	"facial, face value"
hondureño	Honduran
eliminatorio	"knockout, qualifying"
diseminado	"disseminated, scattered"
cantor	singing
*** 1971 - 1980 (/course/185945/spanish-adjectives/198/)	
despoblado	"deserted, outback, unsettled"
grandísimo	"great, big"
tocado	"touched, injured, rotten"
ínfimo	negligible
precolombino	pre-Columbian
tentado	tempted to
bestia	"ignorant, stupid"
infeccioso	"infective, infectious"
genital	genital
sacerdotal	"priestly, sacerdotal"
*** 1981 - 1990 (/course/185945/spanish-adjectives/199/)	
lagarto	sharp
salpicado	"splashing, sprinkle, splattered"
angustioso	"distressing, anguished, heartbreaking"
pornográfico	pornographic
azucarero	sugar
lituano	Lithuanian
benévolo	"benevolent, gentle, kindly"
activado	activated
nítido	"sharp, clear, precise"
escarpado	"steep, sheer, precipitous"
*** 1991 - 2000 (/course/185945/spanish-adjectives/200/)	
elíptico	"elliptical, elliptic"
morfológico	morphologic
cabal	"thorough, complete, proper"
impetuoso	"impetuous, impulsive, violent"
mural	"wall, mural"
letrado	learned
impío	"unholy, ungodly, impious"
fundamentalista	fundamentalist
inmoral	immoral
arancelario	tariff
*** 2001 - 2010 (/course/185945/spanish-adjectives/201/)	
paisano	from the same place
regidor	governing
airado	"angry, irate"
dócil	"docile, gentle, amenable"
curativo	"healing, curative, remedial"
sobrante	"leftover, over, spare"
náutico	nautical
ambulante	"traveling, itinerant, walking"
asimétrico	"asymmetric, asymmetrical"
conmovedor	"poignant, touching, thrilling"
