*** 1 - 10 (/course/187382/spanish-adverbs-7/1/)	
no	"no, not"
astutamente	"astutely, craftily"
fieramente	fiercely
abrumadoramente	"crushingly, overwhelmingly"
*** 791 - 800 (/course/187382/spanish-adverbs-7/80/)	
efusivamente	effusively
lingüísticamente	linguistically
devotamente	devoutly
prodigiosamente	prodigiously
cercanamente	"closely, close"
sucintamente	succinctly
denodadamente	"boldly, dauntlessly, intrepidly"
agresivamente	aggressively
febrilmente	"feverishly, hectically"
literariamente	literary
*** 801 - 810 (/course/187382/spanish-adverbs-7/81/)	
estilísticamente	stylistically
amigablemente	amicably
imprudentemente	"unwisely, imprudently"
armoniosamente	harmoniously
impecablemente	"impeccably, faultlessly"
animadamente	"animatedly, lively"
selectivamente	selectively
canónicamente	canonically
privadamente	privately
espacialmente	spatially
*** 811 - 820 (/course/187382/spanish-adverbs-7/82/)	
mansamente	"gently, meekly"
burlonamente	mockingly
noblemente	nobly
bocajarro	"point-blank, straight out"
válidamente	validly
clásicamente	classically
ecológicamente	ecologically
desordenadamente	disorderly
oscuramente	obscurely
escandalosamente	scandalously
*** 821 - 830 (/course/187382/spanish-adverbs-7/83/)	
anónimamente	anonymously
someramente	superficially
éticamente	ethically
jerárquicamente	hierarchically
irrevocablemente	irrevocably
fehacientemente	reliably
responsablemente	responsibly
armónicamente	harmonically
diestramente	"skilfully, nimbly, neatly"
desigualmente	unequally
*** 831 - 840 (/course/187382/spanish-adverbs-7/84/)	
holgadamente	"comfortably, loosely"
ambientalmente	environmentally
laboriosamente	industriously
fiscalmente	fiscally
dócilmente	"meekly, obediently, gently"
rabiosamente	rabidly
rudamente	roughly
salvo	"unless, excepting if"
consistentemente	consistently
horcajadas	"astride, straddling"
*** 841 - 850 (/course/187382/spanish-adverbs-7/85/)	
nacionalmente	nationally
decentemente	"respectably, decently"
cínicamente	cynically
tontamente	"foolishly, stupidly"
incomprensiblemente	incomprehensibly
prolijamente	"neatly, long-windedly"
poéticamente	poetically
destiempo	"late, at the wrong time"
académicamente	academically
cobardemente	cowardly
*** 851 - 860 (/course/187382/spanish-adverbs-7/86/)	
atrozmente	"atrociously, outrageously"
gramaticalmente	grammatically
imperfectamente	imperfectly
lujosamente	"luxuriously, lavishly"
desinteresadamente	"disinterestedly, with disinterest"
indiferentemente	indifferently
secundariamente	secondarily
tácticamente	tactically
precozmente	"early, prematurely"
gloriosamente	gloriously
*** 861 - 870 (/course/187382/spanish-adverbs-7/87/)	
atropelladamente	"hastily, hurriedly, in a rush"
intensivamente	intensively
buenas	"well, so, OK"
tenuemente	slightly
audazmente	"boldly, audaciously"
documentalmente	documentary
interminablemente	"endlessly, interminably"
alternadamente	alternately
característicamente	characteristically
desagradablemente	disagreeably
*** 871 - 880 (/course/187382/spanish-adverbs-7/88/)	
certeramente	accurately
elocuentemente	"eloquently, glibly"
perceptiblemente	"perceptibly, noticeably"
pretendidamente	"supposedly, allegedly"
sobre	about
confidencialmente	confidentially
geométricamente	geometrically
fonéticamente	phonetically
ásperamente	"roughly, harshly, acidly"
ventajosamente	"advantageously, profitably"
*** 881 - 890 (/course/187382/spanish-adverbs-7/89/)	
confiadamente	confidently
hipócritamente	hypocritically
atinadamente	"rightly, correctly"
diversamente	diversely
evolutivamente	evolutionarily
extremamente	extremely
ahorita	"right away, at once, straight away"
correlativamente	correspondingly
crudamente	crudely
ineludiblemente	inescapably
*** 891 - 900 (/course/187382/spanish-adverbs-7/90/)	
inopinadamente	"unexpectedly, unawares"
extraoficialmente	"unofficially, informally"
sosegadamente	"quietly, calmly, gently"
merecidamente	deservedly
fervorosamente	fervently
injustificadamente	unjustifiably
alfabéticamente	alphabetically
contundentemente	"cogently, forcefully, forcibly"
contemporáneamente	contemporaneously
anímicamente	emotionally
*** 901 - 910 (/course/187382/spanish-adverbs-7/91/)	
psíquicamente	psychically
sospechosamente	suspiciously
impetuosamente	impetuously
deportivamente	"athletically, sportingly"
diagonalmente	diagonally
integralmente	integrally
peculiarmente	peculiarly
lacónicamente	laconically
escuetamente	"plainly, baldly"
reciamente	"strongly, intensely"
*** 911 - 920 (/course/187382/spanish-adverbs-7/92/)	
cíclicamente	cyclically
temerariamente	"recklessly, rashly"
sintéticamente	synthetically
sarcásticamente	sarcastically
imperativamente	imperatively
inseparablemente	inseparably
útilmente	usefully
airadamente	angrily
iguales	"maybe, perhaps"
pomposamente	pompously
*** 921 - 930 (/course/187382/spanish-adverbs-7/93/)	
analíticamente	analytically
tercamente	"stubbornly, obstinately"
vilmente	vilely
lejanamente	distantly
impropiamente	"improperly, amiss"
secuencialmente	sequentially
telepáticamente	telepathically
muy	"very, too, much"
acaloradamente	"warmly, with vehemency"
ejemplarmente	in exemplary fashion
*** 931 - 940 (/course/187382/spanish-adverbs-7/94/)	
artesanalmente	handmade
preventivamente	preventively
ritualmente	ritually
sombríamente	"sombrely, darkly"
hermosamente	"beautifully, lovely"
compulsivamente	compulsively
diferentemente	differently
retroactivamente	retroactively
sensatamente	sensibly
descuidadamente	carelessly
*** 941 - 950 (/course/187382/spanish-adverbs-7/95/)	
fraudulentamente	fraudulently
desfavorablemente	unfavourably
defensivamente	defensively
obsesivamente	obsessively
oficiosamente	officiously
esquemáticamente	schematically
semánticamente	semantically
buenos	"well, so, OK"
gozosamente	joyfully
lánguidamente	languidly
*** 951 - 960 (/course/187382/spanish-adverbs-7/96/)	
médicamente	medically
precariamente	precariously
incuestionablemente	unquestionably
fisiológicamente	physiologically
circunstancialmente	circumstantially
comprensiblemente	comprehensibly
ingeniosamente	"ingeniously, cleverly, wittily"
innegablemente	undeniably
provisoriamente	temporarily
cristianamente	christianly
*** 961 - 970 (/course/187382/spanish-adverbs-7/97/)	
convincentemente	convincingly
encarnizadamente	"fiercely, bloodily"
impacientemente	impatiently
despreocupadamente	"nonchalantly, in a carefree way"
rutinariamente	routinely
coordinadamente	coordinately
premeditadamente	deliberately
irresponsablemente	irresponsibly
taxativamente	"specifically, in a restricted sense"
abreviadamente	"brief, succinctly"
*** 971 - 980 (/course/187382/spanish-adverbs-7/98/)	
diplomáticamente	diplomatically
grotescamente	grotesquely
arquitectónicamente	architecturally
abstractamente	abstractedly
autónomamente	autonomously
ceremoniosamente	ceremoniously
aceptablemente	acceptably
ilícitamente	illicitly
veladamente	in a veiled way
irreversiblemente	irreversibly
*** 981 - 990 (/course/187382/spanish-adverbs-7/99/)	
negligentemente	negligently
bárbaramente	barbarously
centralmente	centrally
corporalmente	"corporally, bodily"
energéticamente	energetically
fraternalmente	"fraternally, brotherly"
santamente	holy
llamativamente	strikingly
contrapelo	"against, in the opposite direction to that in which the hair grows, the wrong way"
angustiosamente	"distressingly, in an anguished voice"
*** 991 - 1000 (/course/187382/spanish-adverbs-7/100/)	
persistentemente	persistently
apreciablemente	appreciably
creativamente	creatively
inadecuadamente	inadequately
férreamente	tightly
demográficamente	demographically
racialmente	racially
avante	"ahead, forward"
entrañablemente	"dearly, deeply"
ágilmente	"lightly, nimbly"
*** 1001 - 1010 (/course/187382/spanish-adverbs-7/101/)	
insoportablemente	"unbearably, intolerably"
bondadosamente	"kindly, good-naturedly"
servilmente	slavishly
anatómicamente	anatomically
cómicamente	"comically, funnily"
educadamente	educatedly
gallardamente	"gracefully, gallantly, dashingly"
idénticamente	identically
desaforadamente	outrageously
perennemente	perennially
*** 1011 - 1020 (/course/187382/spanish-adverbs-7/102/)	
afectivamente	affectively
ignominiosamente	ignominiously
verosímilmente	in a likely way
estoicamente	stoically
amenazadoramente	threateningly
complementariamente	complementarily
contradictoriamente	contradictorily
desconsoladamente	disconsolately
fortuitamente	fortuitously
marginalmente	marginally
*** 1021 - 1030 (/course/187382/spanish-adverbs-7/103/)	
neciamente	"foolishly, stupidly"
porcentualmente	"in a percentage terms, percentage-wise"
insólitamente	"unusually, unwontedly"
indignamente	"unworthily, contemptibly, meanly"
dificultosamente	with difficulty
juiciosamente	judiciously
obligadamente	obligatorily
cuerdamente	"sanely, wisely, sensibly"
tangencialmente	tangentially
abusivamente	abusively
*** 1031 - 1040 (/course/187382/spanish-adverbs-7/104/)	
pulcramente	"neatly, nattily, tidily"
semejantemente	"similarly, likewise"
arqueológicamente	archaeologically
calmadamente	calmly
fluidamente	"fluently, articulately"
trimestralmente	quarterly
equivalentemente	equivalently
forzadamente	forcibly
regionalmente	regionally
inusitadamente	unusually
*** 1041 - 1050 (/course/187382/spanish-adverbs-7/105/)	
vitalmente	vitally
intramuros	"within the city, within the walls"
animosamente	"bravely, with spirit, in lively fashion"
lúgubremente	gloomily
jocosamente	"humorously, comically, jokingly"
jovialmente	jovially
obedientemente	obediently
fantásticamente	fantastically
aposta	"on purpose, deliberately"
sonoramente	sonorously
*** 1051 - 1060 (/course/187382/spanish-adverbs-7/106/)	
subsiguientemente	subsequently
apretadamente	tightly
imparcialmente	impartially
tentativamente	tentatively
desdichadamente	unhappily
flagrantemente	flagrantly
liberalmente	liberally
ofensivamente	offensively
ilimitadamente	unlimited
artificiosamente	artificially
*** 1061 - 1070 (/course/187382/spanish-adverbs-7/107/)	
civilmente	civilly
correspondientemente	correspondingly
laboralmente	occupationally
agriamente	sourly; with asperity or harshness.
térmicamente	thermally
esmeradamente	"carefully, neatly, elegantly"
figuradamente	figuratively
insolentemente	insolently
magnéticamente	magnetically
fanáticamente	fanatically
*** 1071 - 1080 (/course/187382/spanish-adverbs-7/108/)	
indolentemente	indolently
dichosamente	"luckily, fortunately"
patéticamente	pathetically
alarmantemente	alarmingly
bonitamente	"nicely, neatly, craftily"
óptimamente	optimally
teatralmente	theatrically
coincidentemente	coincidentally
criminalmente	criminally
monstruosamente	monstrously
*** 1081 - 1090 (/course/187382/spanish-adverbs-7/109/)	
plásticamente	plastically
reflexivamente	reflexively
perversamente	wickedly
cautamente	cautiously
perentoriamente	peremptorily
fotográficamente	photographically
radialmente	radially
deficientemente	deficiently
burdamente	grossly
declaradamente	"professedly, openly"
*** 1091 - 1100 (/course/187382/spanish-adverbs-7/110/)	
voluptuosamente	voluptuously
fragmentariamente	fragmentarily
olímpicamente	loftily
reverentemente	reverently
románticamente	romantically
infatigablemente	"tirelessly, untiringly"
unitariamente	unitarily
ventralmente	ventrally
clamorosamente	clamorously
compasivamente	compassionately
*** 1101 - 1110 (/course/187382/spanish-adverbs-7/111/)	
peyorativamente	pejoratively
pertinentemente	pertinently
estatutariamente	statutorily
causalmente	causally
extrajudicialmente	extrajudicially
honrosamente	honorably
qué	how
fatigosamente	"painfully, with difficulty"
filogenéticamente	phylogenetically
pragmáticamente	pragmatically
*** 1111 - 1120 (/course/187382/spanish-adverbs-7/112/)	
traidoramente	treacherously
solapadamente	"underhandedly, slyly, sneakily"
desmedidamente	disproportionately
ostentosamente	ostentatiously
sobriamente	soberly
incómodamente	"uncomfortably, inconveniently"
confortablemente	comfortably
dudosamente	doubtfully
eufemísticamente	euphemistically
impulsivamente	impulsively
*** 1121 - 1130 (/course/187382/spanish-adverbs-7/113/)	
siniestramente	"sinistrously, perversely"
supremamente	supremely
estruendosamente	"thunderously, noisily, uproariously"
provechosamente	"usefully, advantageously, beneficially"
cándidamente	candidly
temerosamente	fearfully
tumultuosamente	tumultuously
infortunadamente	unfortunately
diabólicamente	diabolically
dogmáticamente	dogmatically
*** 1131 - 1140 (/course/187382/spanish-adverbs-7/114/)	
placenteramente	"pleasingly, tastefully, agreeably"
razonadamente	reasonably
resignadamente	resignedly
metafísicamente	metaphysically
sentenciosamente	sententiously
desvergonzadamente	shamelessly
indeciblemente	"unspeakably, indescribably"
vocalmente	vocally
encubiertamente	"covertly, secretly, deceitfully"
benignamente	"kindly, benignly"
*** 1141 - 1150 (/course/187382/spanish-adverbs-7/115/)	
preponderantemente	preponderantly
semestralmente	"semiannually, half-yearly"
sociológicamente	sociologically
asexualmente	asexually
dialécticamente	dialectically
inconcebiblemente	inconceivably
paternalmente	paternally
irreflexivamente	"thoughtlessly, unthinkingly"
insensatamente	"thoughtlessly, wildly"
impensadamente	unexpectedly
*** 1151 - 1160 (/course/187382/spanish-adverbs-7/116/)	
osadamente	"boldly, daringly"
engañosamente	"deceitfully, fraud-fully, guilefully"
monótonamente	droningly
galantemente	"gallantly, charmingly, attentively"
irracionalmente	irrationally
malignamente	malignantly
presurosamente	"quickly, promptly, hastily"
retóricamente	rhetorically
alevosamente	"treacherously, guilefuly"
sangrientamente	"bloodily, cruelly"
*** 1161 - 1170 (/course/187382/spanish-adverbs-7/117/)	
circularmente	circularly
concurrentemente	concurrently
místicamente	mystically
escalonadamente	"stepwise, step by step"
ardorosamente	ardently
discrecionalmente	discretionally
sanamente	healthily
roncamente	"huskily, raucously"
mediatamente	mediately
agitadamente	nervously
*** 1171 - 1180 (/course/187382/spanish-adverbs-7/118/)	
palpablemente	palpably
sagazmente	sagaciously
sumisamente	"submissively, obediently"
suntuosamente	"sumptuously, richly"
fallidamente	unsuccessfully
solitariamente	"alone, lonely"
ambiguamente	ambiguously
despóticamente	despotically
genialmente	"ingeniously, brilliantly"
irreparablemente	irreparably
*** 1181 - 1190 (/course/187382/spanish-adverbs-7/119/)	
limitadamente	limitedly
operativamente	operatively
palmariamente	"plainly, clearly"
providencialmente	providentially
sensualmente	sensually
soberbiamente	supremely
rematadamente	"terribly, hopelessly"
resumidamente	briefly
desastrosamente	disastrously
enigmáticamente	enigmatically
*** 1191 - 1200 (/course/187382/spanish-adverbs-7/120/)	
festivamente	festively
airosamente	"gracefully, elegantly"
indispensablemente	indispensably
menudamente	minutely
sintácticamente	syntactically
termodinámicamente	thermodynamically
inconfundiblemente	unmistakably
infantilmente	childishly
expresivamente	expressly
mancomunadamente	"jointly, together, by common consent"
*** 1201 - 1210 (/course/187382/spanish-adverbs-7/121/)	
jubilosamente	"jubilantly, joyfully"
ópticamente	optically
pasablemente	"passably, tolerably"
acompasadamente	rhythmically
mucha	"ages, long, a lot"
arrogantemente	arrogantly
condenadamente	"damned, darned"
decorosamente	decorously
homogéneamente	homogeneously
imaginariamente	imaginatively
*** 1211 - 1220 (/course/187382/spanish-adverbs-7/122/)	
ajustadamente	"justly, rightly"
lícitamente	"lawfully, justly"
revolucionariamente	revolutionary
subterráneamente	subterraneously
cinematográficamente	cinematically
esforzadamente	"enterprisingly, vigorously"
intrépidamente	"intrepidly, fearlessly"
secularmente	secularly
infelizmente	"unluckily, unhappily, unfortunately"
autoritariamente	authoritatively
*** 1221 - 1230 (/course/187382/spanish-adverbs-7/123/)	
castamente	"chastely, purely"
dorsalmente	dorsally
horrorosamente	"dreadfully, terribly"
honorablemente	honorably
aparatosamente	"ostentatiously, showily, pretentiously"
subconscientemente	subconsciously
adondequiera	"wherever, wheresoever"
doctrinalmente	doctrinally
ahincadamente	earnestly
egoístamente	"egoistically, egotistically"
*** 1231 - 1240 (/course/187382/spanish-adverbs-7/124/)	
impresionantemente	impressively
inhumanamente	inhumanly
lúcidamente	lucidly
patentemente	patently
procesalmente	procedurally
reservadamente	reservedly
superiormente	superiorly
imprevistamente	unexpectedly
alocadamente	"wildly, crazily, recklessly"
continuadamente	continuously
*** 1241 - 1250 (/course/187382/spanish-adverbs-7/125/)	
altivamente	"haughtily, arrogantly"
candorosamente	"innocently, guiltlessly, simply"
inicuamente	inquitously
cortamente	"sparingly, frugally, scantily"
cuál	as
concluyentemente	conclusively
defectuosamente	defectively
vivencialmente	experientially
inexcusablemente	inexcusably
legislativamente	legislatively
*** 1251 - 1260 (/course/187382/spanish-adverbs-7/126/)	
prolongadamente	lengthily
líricamente	lyrically
estáticamente	statically
acústicamente	acoustically
clarísimamente	clarismatically
difusamente	diffusely
efímeramente	ephemerally
ficticiamente	fictitiously
histéricamente	hysterically
entrecortadamente	"in a laboured way, falteringly, hesitatingly"
*** 1261 - 1270 (/course/187382/spanish-adverbs-7/127/)	
pérfidamente	"perfidiously, treacherously"
trivialmente	trivially
vistosamente	"brightly, colourfully"
caritativamente	charitably
encantadoramente	"charmingly, delightfully"
redondamente	circularly
insidiosamente	insidiously
parsimoniosamente	parsimoniously
policialmente	policed
ancestralmente	ancestrally
*** 1271 - 1280 (/course/187382/spanish-adverbs-7/128/)	
carnalmente	carnally
precavidamente	cautiously
crónicamente	chronically
competentemente	"efficiently, competently"
ociosamente	idly
indeleblemente	indelibly
solícitamente	"solicitously, diligently"
telegráficamente	telegraphically
tendencialmente	tendentially
visceralmente	viscerally
*** 1281 - 1290 (/course/187382/spanish-adverbs-7/129/)	
apicalmente	apically
discutiblemente	arguably
evasivamente	evasively
instrumentalmente	instrumentally
invenciblemente	invincibly
metodológicamente	methodologically
vorazmente	voraciously
disciplinadamente	with discipline
ilusoriamente	illusory
muellemente	"softly, tenderly, gently"
*** 1291 - 1300 (/course/187382/spanish-adverbs-7/130/)	
torrencialmente	torrentially
puerilmente	childishly
constitutivamente	constitutively
explosivamente	explosively
informativamente	informationally
acusadamente	markedly
preceptivamente	preceptively
escénicamente	scenically
calmosamente	"calmly, slowly, sluggishly"
arteramente	"cunningly, artfully"
*** 1301 - 1310 (/course/187382/spanish-adverbs-7/131/)	
desapasionadamente	dispassionately
inquietantemente	disturbingly
emotivamente	emotionally
formidablemente	formidably
torvamente	grimly
intolerablemente	intolerably
irrefutablemente	irrefutably
pródigamente	"lavishly, unsparingly"
comprensivamente	patiently
pedagógicamente	pedagogically
*** 1311 - 1320 (/course/187382/spanish-adverbs-7/132/)	
preciosamente	"richly, lovely"
improvisadamente	"unexpectedly, suddenly"
desenfrenadamente	"wildly, in an uncontrolled way"
ácidamente	acidly
elásticamente	elastically
entusiastamente	enthusiastically
exprofeso	"expressly, on purpose, deliberately"
fabulosamente	fabulously
indescriptiblemente	indescribably
logísticamente	logistically
*** 1321 - 1330 (/course/187382/spanish-adverbs-7/133/)	
platónicamente	platonically
insepulto	unburied
flojamente	"weakly, feebly"
cansinamente	"wearily, lifelessly"
astronómicamente	astronomically
coyunturalmente	circumstantially
indiscretamente	"indiscreetly, tactlessly"
inflexiblemente	inflexibly
sicológicamente	psychologically
restrictivamente	restrictively
*** 1331 - 1340 (/course/187382/spanish-adverbs-7/134/)	
virtuosamente	virtuously
condicionalmente	conditionally
cooperativamente	cooperatively
distintivamente	distinctly
duraderamente	durably
existencialmente	existentially
erradamente	"mistakenly, amiss"
pictóricamente	pictorially
sensorialmente	sensory
espasmódicamente	spasmodically
*** 1341 - 1350 (/course/187382/spanish-adverbs-7/135/)	
anecdóticamente	anecdotally
basalmente	basally
comunalmente	communally
concomitantemente	concomitantly
covalentemente	covalently
equívocamente	equivocally
imaginativamente	imaginatively
impúdicamente	impudently
interrogativamente	interrogatively
farmacológicamente	pharmacologically
*** 1351 - 1360 (/course/187382/spanish-adverbs-7/136/)	
reposadamente	"quietly, gently, restfully"
acremente	"sharply, bitterly"
establemente	stably
sincrónicamente	synchronously
verazmente	truthfully
endiabladamente	"uglily, abominably, devlishly"
incautamente	"unwarily, incautiously"
expertamente	"adeptly, skillfully"
argumentalmente	arguably
famosamente	famously
*** 1361 - 1370 (/course/187382/spanish-adverbs-7/137/)	
ineluctablemente	ineluctably
inviolablemente	inviolably
ontológicamente	ontologically
patológicamente	pathologically
regiamente	"royally, regally, kingly"
vanidosamente	vainly
anchamente	"broadly, widely"
calculadamente	calculatedly
hidrológicamente	hydrologically
invisiblemente	invisibly
*** 1371 - 1380 (/course/187382/spanish-adverbs-7/138/)	
medicinalmente	medicinally
obscenamente	obscenely
parlamentariamente	"parliamentary, congressionally"
temblorosamente	shakily
arrebatadamente	"suddenly, violently, headlong"
tiránicamente	tyrannically
cansadamente	"wearily, in a tired way"
disparatadamente	"absurdly, nonsensically"
asquerosamente	"disgustingly, nauseatingly, foully"
saludablemente	healthily
*** 1381 - 1390 (/course/187382/spanish-adverbs-7/139/)	
incompletamente	incompletely
luminosamente	luminously
maduramente	maturely
máximamente	maximally
ominosamente	ominously
procesionalmente	processionally
proverbialmente	proverbially
inapropiadamente	inappropriately
inefablemente	ineffably
insaciablemente	insatiably
*** 1391 - 1400 (/course/187382/spanish-adverbs-7/140/)	
potentemente	potently
colegiadamente	collegially
dictatorialmente	dictatorially
ignorantemente	ignorantly
privativamente	privatively
rústicamente	rustically
supersticiosamente	superstitiously
ambiciosamente	ambitiously
antier	day before yesterday
didácticamente	didactically
*** 1401 - 1410 (/course/187382/spanish-adverbs-7/141/)	
catastróficamente	disastrously
parejamente	"evenly, equally"
falazmente	fallaciously
pavorosamente	"frighteningly, terringly"
geopolíticamente	geopolitically
hospitalariamente	hospitably
inmaculadamente	immaculately
imperturbablemente	imperturbably
conocidamente	"knowingly, evidently, confessedly"
opuestamente	oppositely
*** 1411 - 1420 (/course/187382/spanish-adverbs-7/142/)	
milimétricamente	"precisely, minutely"
preferencialmente	preferentially
aturdidamente	"recklessly, thought-lessly"
concertadamente	"regularly, orderly, methodically"
reproductivamente	reproductively
tópicamente	topically
accesoriamente	accessorily
muchas	"ages, long, a lot"
antropológicamente	anthropologically
caballerosamente	cavalierly
*** 1421 - 1430 (/course/187382/spanish-adverbs-7/143/)	
coactivamente	coercively
deslealmente	"disloyally, unfairly"
relajadamente	"dissolutely, licentiously"
frívolamente	frivolously
inminentemente	imminently
maternalmente	"maternally, motherly"
metabólicamente	metabolically
parcamente	"sparingly, frugally"
conmovedoramente	"touchingly, movingly"
analógicamente	analogically
*** 1431 - 1440 (/course/187382/spanish-adverbs-7/144/)	
deshonestamente	"dishonourably, disgracefully"
entusiásticamente	enthusiastically
igualitariamente	equally
gravísimamente	grievously
feamente	"hideously, terribly"
mesuradamente	measurably
misericordiosamente	mercifully
mudamente	"mutely, silently, tacitly"
seductoramente	seductively
impasiblemente	"stolidly, stoically, insensibly"
*** 1441 - 1450 (/course/187382/spanish-adverbs-7/145/)	
subliminalmente	subliminally
junto	"together, alongside, beside"
acríticamente	uncritically
premonitoriamente	as a warning
astrológicamente	astrologically
corriendo	"at a run, at the double"
publicitariamente	by advertising
notarialmente	by legal process
desgaire	"carelessly, slovenliness"
desatinadamente	foolishly
*** 1451 - 1460 (/course/187382/spanish-adverbs-7/146/)	
grandiosamente	grandiosely
inconsideradamente	inconsiderately
monetariamente	monetarily
quietamente	quietly
congruentemente	congruently
destructivamente	destructively
periodísticamente	journalistically
virilmente	manfully
multitudinariamente	multitudinously
obsequiosamente	obsequiously
*** 1461 - 1470 (/course/187382/spanish-adverbs-7/147/)	
arrolladoramente	overwhelmingly
escondidamente	"secretly, privately, hiddenly"
significantemente	significantly
sobrenaturalmente	supernaturally
incontrolablemente	uncontrollably
beatíficamente	beatifically
recatadamente	"cautiously, prudently, modestly"
demagógicamente	demagogically
discursivamente	discursively
elementalmente	elementally
*** 1471 - 1480 (/course/187382/spanish-adverbs-7/148/)	
frugalmente	frugally
incoherentemente	incoherently
irreprochablemente	irreproachably
malévolamente	just for spite
marcialmente	martially
pudorosamente	"modestly, shyly"
nostálgicamente	nostalgically
pálidamente	palely
sabrosamente	"pleasantly, tastefully"
atolondradamente	recklessly
*** 1481 - 1490 (/course/187382/spanish-adverbs-7/149/)	
inquietamente	"restlessly, anxiously, worriedly"
sacramentalmente	sacramentally
sesgadamente	"slantwise, slopwise, slopingly"
traicioneramente	treacherously
insospechadamente	"unexpectedly, surprisingly"
elogiosamente	with warm approval
abominablemente	"abominably, detestably, execrably"
bajamente	"basely, meanly, abjectly"
culpablemente	culpably
educativamente	educationally
*** 1491 - 1500 (/course/187382/spanish-adverbs-7/150/)	
épicamente	epically
horrendamente	horrendously
importantemente	importantly
complacientemente	indulgently
regocijadamente	"merrily, joyfully, gleefully"
pertinazmente	"pertinaciously, contumaciously"
mediocremente	poorly
sacrílegamente	sacrilegiously
sinuosamente	sinuously
espectralmente	spectrally
*** 1501 - 1510 (/course/187382/spanish-adverbs-7/151/)	
especulativamente	speculatively
sublimemente	sublimely
simpáticamente	sympathetically
indubitablemente	undoubtedly
facultativamente	"according to the principles, rules, or axioms of a science or art"
austeramente	"austerely, sternly"
deductivamente	deductively
distantemente	distantly
pasajeramente	fleetingly
aterradoramente	frighteningly
*** 1511 - 1520 (/course/187382/spanish-adverbs-7/152/)	
insuperablemente	insuperably
irreverentemente	irreverently
doctamente	learnedly
magnánimamente	magnanimously
nutricionalmente	nutritionally
polémicamente	polemically
rudimentariamente	rudimentary
terapéuticamente	therapeutically
desmayadamente	"weakly, dejectedly"
mordazmente	"acrimoniously, nippingly"
*** 1521 - 1530 (/course/187382/spanish-adverbs-7/153/)	
analmente	anally
calumniosamente	"calumniously, slanderously"
empeñosamente	desperately
empresarialmente	entrepreneurially
medrosamente	"faint-heartedly, timorously, fearfully"
borrosamente	"fuzzily, dimly"
golosamente	greedily
hiperbólicamente	hyperbolically
torcidamente	"in a twisted way, crookedly"
indecentemente	indecently
*** 1531 - 1540 (/course/187382/spanish-adverbs-7/154/)	
inductivamente	inductively
intrincadamente	intricately
meritoriamente	meritoriously
miméticamente	mimetically
mezquinamente	"miserably, avariciously"
morosamente	morosely
patrimonialmente	patrimonially
presuntuosamente	presumptuously
prosaicamente	prosaically
sardónicamente	sardonically
*** 1541 - 1550 (/course/187382/spanish-adverbs-7/155/)	
sinérgicamente	synergistically
tensamente	"tensely, greatly"
triplemente	triply
juvenilmente	"youthfully, junior, early"
pasmosamente	"amazingly, astonishingly, wonderfully"
axialmente	axially
venturosamente	"blissfully, happily"
erráticamente	erratically
sempiternamente	"everlastingly, eternally"
azarosamente	"hazardously, eventfully"
*** 1551 - 1560 (/course/187382/spanish-adverbs-7/156/)	
desganadamente	in a desultory fashion
incipientemente	incipiently
incongruentemente	incongruously
ineficazmente	inefficiently
fastuosamente	"magnificently, splendidly, lavishly"
varonilmente	"manfully, valiantly, courageously"
plausiblemente	plausibly
prudencialmente	prudentially
radiactivamente	radioactively
descarnadamente	"starkly, brutally"
*** 1561 - 1570 (/course/187382/spanish-adverbs-7/157/)	
tolerablemente	tolerably
inalterablemente	unalterably
abismalmente	abysmally
auditivamente	aurally
aburridamente	boringly
regaladamente	"delicately, pleasantly, daintily"
irrespetuosamente	disrespectfully
elaboradamente	elaborately
exaltadamente	exaltedly
honoríficamente	honorably
*** 1571 - 1580 (/course/187382/spanish-adverbs-7/158/)	
incrédulamente	incredulously
insultantemente	insultingly
irreductiblemente	irreducibly
lascivamente	"lasciviously, lustfully, libidninously"
míseramente	miserly
satíricamente	satirically
ladinamente	"sidewise, artfully, sagaciously"
sintomáticamente	symptomatically
tortuosamente	tortuously
descomunalmente	"uncommonly, immoderately, extraordinarily"
*** 1581 - 1590 (/course/187382/spanish-adverbs-7/159/)	
infundadamente	"unreasonably, groundlessly"
apremiantemente	"urgently, immediately"
vaginalmente	vaginally
admirativamente	admiringly
corporativamente	corporately
desoladoramente	desolately
costosamente	expensively
mentirosamente	"falsely, deceitfully, lyingly"
humanitariamente	humanely
impersonalmente	impersonally
*** 1591 - 1600 (/course/187382/spanish-adverbs-7/160/)	
civilizadamente	in a civilized way
incalculablemente	incalculably
desconsideradamente	inconsiderately
incorregiblemente	incorrigibly
infernalmente	infernally
lucidamente	lucidly
nebulosamente	nebulously
turbiamente	"obscurely, confusedly"
fenomenalmente	phenomenally
síquicamente	psychically
*** 1601 - 1610 (/course/187382/spanish-adverbs-7/161/)	
rencorosamente	"resentfully, bitterly, spitefully"
estudiadamente	studiously
superlativamente	superlatively
inimaginablemente	unimaginably
vividamente	vividly
malvadamente	"wickedly, naughtily, mischievously"
apreciativamente	appreciatively
católicamente	catholically
ceremonialmente	ceremonially
expeditivamente	expeditiously
*** 1611 - 1620 (/course/187382/spanish-adverbs-7/162/)	
inmoderadamente	immoderately
estentóreamente	in a stentorian voice
inexpresivamente	"inexpressively, blankly"
intracelularmente	intracellularly
introspectivamente	introspectively
pícaramente	"knavishly, roguishly"
melodiosamente	melodiously
